id,image_url
sb2c_1c,https://static.encyclopedia.warthunder.com/slots/sb2c_1c.png
sb2c_4,https://static.encyclopedia.warthunder.com/slots/sb2c_4.png
pbj_group,https://static.encyclopedia.warthunder.com/slots/pbj_group.png
pbj_1j,https://static.encyclopedia.warthunder.com/slots/pbj_1j.png
pbj_1h,https://static.encyclopedia.warthunder.com/slots/pbj_1h.png
p-61c_1,https://static.encyclopedia.warthunder.com/slots/p-61c_1.png
a-26b_group,https://static.encyclopedia.warthunder.com/slots/a-26_group.png
a-26b_10,https://static.encyclopedia.warthunder.com/slots/a-26b_10.png
a-26b,https://static.encyclopedia.warthunder.com/slots/a-26b.png
douglas_ad_group,https://static.encyclopedia.warthunder.com/slots/douglas_ad_group.png
douglas_ad_2,https://static.encyclopedia.warthunder.com/slots/douglas_ad_2.png
douglas_ad_4,https://static.encyclopedia.warthunder.com/slots/douglas_ad_4.png
am_1_mauler,https://static.encyclopedia.warthunder.com/slots/am_1_mauler.png
f3d_1,https://static.encyclopedia.warthunder.com/slots/f3d_1.png
f-84f,https://static.encyclopedia.warthunder.com/slots/f-84f.png
a_4b_group,https://static.encyclopedia.warthunder.com/slots/a_4b_group.png
a_4b,https://static.encyclopedia.warthunder.com/slots/a_4b.png
fj_4b,https://static.encyclopedia.warthunder.com/slots/fj_4b.png
av_8c,https://static.encyclopedia.warthunder.com/slots/av_8c.png
a_10a_late,https://static.encyclopedia.warthunder.com/slots/a_10a_late.png
a_7_group,https://static.encyclopedia.warthunder.com/slots/a_7_group.png
a_7d,https://static.encyclopedia.warthunder.com/slots/a_7d.png
a_7e,https://static.encyclopedia.warthunder.com/slots/a_7e.png
a_10c,https://static.encyclopedia.warthunder.com/slots/a_10c.png
av_8b_plus,https://static.encyclopedia.warthunder.com/slots/av_8b_plus.png
tbd_group,https://static.encyclopedia.warthunder.com/slots/tbd_group.png
tbd-1_1938,https://static.encyclopedia.warthunder.com/slots/tbd-1_1938.png
b_18a,https://static.encyclopedia.warthunder.com/slots/b_18a.png
pby_group,https://static.encyclopedia.warthunder.com/slots/pby_group.png
pby-5,https://static.encyclopedia.warthunder.com/slots/pby-5.png
pby-5a,https://static.encyclopedia.warthunder.com/slots/pby-5a.png
pbm_1,https://static.encyclopedia.warthunder.com/slots/pbm_1.png
b_34,https://static.encyclopedia.warthunder.com/slots/b_34.png
b_25j_1,https://static.encyclopedia.warthunder.com/slots/b_25j_1.png
b_25j_20,https://static.encyclopedia.warthunder.com/slots/b_25j_20.png
b_26b_c,https://static.encyclopedia.warthunder.com/slots/b_26b_c.png
b-17_group,https://static.encyclopedia.warthunder.com/slots/b-17_group.png
b-17e,https://static.encyclopedia.warthunder.com/slots/b-17e.png
b-17e_late,https://static.encyclopedia.warthunder.com/slots/b-17e_late.png
pb4y-2,https://static.encyclopedia.warthunder.com/slots/pb4y-2.png
b-17_late_group,https://static.encyclopedia.warthunder.com/slots/b-17_late_group.png
b-17g,https://static.encyclopedia.warthunder.com/slots/b-17g.png
b_24d,https://static.encyclopedia.warthunder.com/slots/b_24d.png
b-29,https://static.encyclopedia.warthunder.com/slots/b-29.png
b_57_group,https://static.encyclopedia.warthunder.com/slots/b_57_group.png
b-57,https://static.encyclopedia.warthunder.com/slots/b-57.png
b-57b,https://static.encyclopedia.warthunder.com/slots/b-57b.png
f-105d,https://static.encyclopedia.warthunder.com/slots/f-105d.png
f_111a,https://static.encyclopedia.warthunder.com/slots/f_111a.png
f_111f,https://static.encyclopedia.warthunder.com/slots/f_111f.png
f_15e,https://static.encyclopedia.warthunder.com/slots/f_15e.png
f3f-2_galer,https://static.encyclopedia.warthunder.com/slots/f3f-2_galer.png
p-36c_rb,https://static.encyclopedia.warthunder.com/slots/p-36c_rb.png
f2a-1_thach,https://static.encyclopedia.warthunder.com/slots/f2a-1_thach.png
soc_1,https://static.encyclopedia.warthunder.com/slots/soc_1.png
o3u_1,https://static.encyclopedia.warthunder.com/slots/o3u_1.png
p-40e_td,https://static.encyclopedia.warthunder.com/slots/p-40e_td.png
ki_43_2_late,https://static.encyclopedia.warthunder.com/slots/ki_43_2_late.png
p-51a_tl,https://static.encyclopedia.warthunder.com/slots/p-51a_tl.png
p-38g_metal,https://static.encyclopedia.warthunder.com/slots/p-38g_metal.png
ki_61_1a_otsu_usa,https://static.encyclopedia.warthunder.com/slots/ki_61_1a_otsu_usa.png
a6m2_zero_usa,https://static.encyclopedia.warthunder.com/slots/a6m2_zero_usa.png
btd-1,https://static.encyclopedia.warthunder.com/slots/btd-1.png
xp-55,https://static.encyclopedia.warthunder.com/slots/xp-55.png
xp-50,https://static.encyclopedia.warthunder.com/slots/xp-50.png
bf-109f-4_usa,https://static.encyclopedia.warthunder.com/slots/bf-109f-4_usa.png
xa_38,https://static.encyclopedia.warthunder.com/slots/xa_38.png
p-51d-20-na,https://static.encyclopedia.warthunder.com/slots/p-51d-20-na.png
p-51d-10,https://static.encyclopedia.warthunder.com/slots/p-51d-10.png
p-47m-1-re,https://static.encyclopedia.warthunder.com/slots/p-47m-1-re.png
p-47m-1-re_boxted,https://static.encyclopedia.warthunder.com/slots/p-47m-1-re_boxted.png
fw-190a-8_usa,https://static.encyclopedia.warthunder.com/slots/fw-190a-8_usa.png
spitfire_ix_usa,https://static.encyclopedia.warthunder.com/slots/spitfire_ix_usa.png
douglas_a_1h,https://static.encyclopedia.warthunder.com/slots/douglas_a_1h.png
f-89b,https://static.encyclopedia.warthunder.com/slots/f-89b.png
f-89d,https://static.encyclopedia.warthunder.com/slots/f-89d.png
a_4e_early,https://static.encyclopedia.warthunder.com/slots/a_4e_early.png
f_117,https://static.encyclopedia.warthunder.com/slots/f_117.png
av_8a,https://static.encyclopedia.warthunder.com/slots/av_8a.png
a_10a_early,https://static.encyclopedia.warthunder.com/slots/a_10a_early.png
f-5c,https://static.encyclopedia.warthunder.com/slots/f-5c.png
a_6e_tram,https://static.encyclopedia.warthunder.com/slots/a_6e_tram.png
f-4s,https://static.encyclopedia.warthunder.com/slots/f-4s.png
